A_handle,B_handle,type
FeRealitat,FlatEarthDoc,RT
owes_sk,Spacehehehe,RT
owes_sk,Spacehehehe,RT
KirianRM,FlatEarthDoc,RT
therealbaconcdr,ClimateCritic18,RT
derrilynk,ClimateCritic18,RT
SullJack48,ClimateCritic18,RT
KelvinCasamayor,KelvinCasamayor,Tweet
news2health,FlatEarthDoc,RT
TroyCramp69,ClimateCritic18,RT
WeenieLinguini,rob_freddy,RT
WeenieLinguini,honjackhellsin,RT
WeenieLinguini,Life_910,RT
WeenieLinguini,vdubya,RT
WeenieLinguini,HujumesipeT,RT
WeenieLinguini,MasterDebateNet,RT
d00mg1rl,ClimateCritic18,RT
cyanmotley,AlfonzoCortez4,RT
Zerepnad,Zerepnad,Tweet
DameShowPony,ClimateCritic18,RT
luilui239,Jaescott26,RT
BotSiduri,Life_910,RT
BotSiduri,HujumesipeT,RT
lucyin_the,ClimateCritic18,RT
Queen2Lion,talktalkpaul,RT
rob_freddy,rob_freddy,Tweet
honjackhellsin,honjackhellsin,Tweet
Life_910,Life_910,Tweet
fivemagics5,Spacehehehe,RT
Nada_Vampire,vdubya,RT
1_i_ON_U,vdubya,RT
BlagenLogin,TRWLI,RT
vdubya,vdubya,Tweet
fivemagics5,Spacehehehe,RT
fivemagics5,Spacehehehe,RT
HujumesipeT,HujumesipeT,Tweet
sofinique1,CharlyGonCast,RT
jayhazy23,FlatEarthDoc,RT
MasterDebateNet,MasterDebateNet,Tweet
Strawb3ryFieldz,Strawb3ryFieldz,Tweet
talktalkpaul,talktalkpaul,Tweet
WeenieLinguini,Strawb3ryFieldz,RT
WeenieLinguini,TheDailyPlane,RT
WeenieLinguini,ConstitutionOR,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,ConstitutionNd,RT
WeenieLinguini,MI_Constitution,RT
Strawb3ryFieldz,Strawb3ryFieldz,Tweet
TheDailyPlane,TheDailyPlane,Tweet
ConstitutionOR,ConstitutionOR,Tweet
TakingTheAsk,Constitution_NH,RT
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionNd,Tweet
MI_Constitution,MI_Constitution,Tweet
MEConstitution,TakingTheAsk,RT
MEConstitution,TrustFlatEarth,RT
MEConstitution,FlatEarthDoc,RT
FlatEarthDoc,FlatEarthDoc,Tweet
Strawb3ryFieldz,Strawb3ryFieldz,Tweet
NinaMIngram1,flatmotionless,RT
NinaMIngram1,FlatFlix,RT
ClimateCritic18,ClimateCritic18,RT
TrustFlatEarth,TrustFlatEarth,Tweet
CourierPaul71,CourierPaul71,RT
WeenieLinguini,TakingTheAsk,RT
WeenieLinguini,TRWLI,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,TRWLI,RT
WeenieLinguini,Grimnasty1,RT
WeenieLinguini,DeeceComedy,RT
TakingTheAsk,TakingTheAsk,Tweet
josuetalegas,ABurdiez,RT
THOMPSONP1950,ClimateCritic18,RT
F_TayLIFE,Jaescott26,RT
WilliamRCamero1,TRWLI,RT
TRWLI,TRWLI,Tweet
TibeluthedT,TibeluthedT,Tweet
anna_938,ClimateCritic18,RT
BotSiduri,patcheslampwork,RT
BotSiduri,DeeceComedy,RT
letter_7129,TrustFlatEarth,RT
TRWLI,TRWLI,Tweet
news2health,TrustFlatEarth,RT
news2health,TrustFlatEarth,RT
getshittyshow,DAPFpodcast,RT
Grimnasty1,Grimnasty1,Tweet
DeeceComedy,DeeceComedy,Tweet
WeenieLinguini,Constitution_NH,RT
patcheslampwork,patcheslampwork,Tweet
WeenieLinguini,DAPFpodcast,RT
WeenieLinguini,HiddenMountain7,RT
WeenieLinguini,Horror_Mann,RT
WeenieLinguini,AngelsFreak7,RT
AdFreeTalkRadio,DAPFpodcast,RT
FlatEarthRT,DAPFpodcast,RT
jupitdra2,kozonakamuratv,RT
DougRHowells,ClimateCritic18,RT
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionOR,RT
MEConstitution,Horror_Mann,RT
MEConstitution,DAPFpodcast,RT
MEConstitution,HujumesipeT,RT
DAPFpodcast,DAPFpodcast,Tweet
Jaescott26,Jaescott26,Tweet
VWe84745605,Flying_Emeralds,RT
LideFranks,ClimateCritic18,RT
ArielLocolocazo,alvinbryan21,RT
SolarElectrics,SolarElectrics,Tweet
PeaceWTF,TrustFlatEarth,RT
HiddenMountain7,HiddenMountain7,Tweet
GrobbePetsch,mariahlinam,RT
FanficsMadnessa,mariahlinam,RT
CashleyShipper,mariahlinam,RT
IsabellaMoraesT,mariahlinam,RT
AdFreeTalkRadio,AngelsFreak7,RT
Horror_Mann,Horror_Mann,Tweet
boilie2,ClimateCritic18,RT
HbAlpaca,ClimateCritic18,RT
KiwiGal6,ClimateCritic18,RT
AngelsFreak7,AngelsFreak7,Tweet
chuckytales710,ClimateCritic18,RT
knotagay,ClimateCritic18,RT
WeenieLinguini,SeketricBarnes,RT
WeenieLinguini,ClimateCritic18,RT
WeenieLinguini,Mikanojo,RT
WeenieLinguini,TibeluthedT,RT
HappyBigGrin,FlatFlix,RT
Nikko42556632,ClimateCritic18,RT
coloali,ClimateCritic18,RT
SolarElectrics,SolarElectrics,Tweet
Thor_52,FlatFlix,RT
SeketricBarnes,SeketricBarnes,Tweet
ClimateCritic18,ClimateCritic18,Tweet
AlexisGavros11,DSL1912,RT
SolarElectrics,SolarElectrics,Tweet
wiretechgirl,DAPFpodcast,RT
FunSizePodcast,DAPFpodcast,RT
Thor_52,grilabo,RT
Mikanojo,Mikanojo,Tweet
rizkysantibanez,alvinbryan21,RT
TibeluthedT,TibeluthedT,Tweet
BotSiduri,TakingTheAsk,RT
BotSiduri,HujumesipeT,RT
bun367,Thor_52,RT
CobraElDiablo,CobraElDiablo,Tweet
WeenieLinguini,TakingTheAsk,RT
WeenieLinguini,bg_anon,RT
WeenieLinguini,Rickwmooney,RT
WeenieLinguini,HujumesipeT,RT
WeenieLinguini,wolfmanmike47,RT
WeenieLinguini,rosswickman,RT
TakingTheAsk,TakingTheAsk,Tweet
bg_anon,bg_anon,Tweet
Much_Irsyad,Spacehehehe,RT
DenzilDamon,DenzilDamon,Tweet
Rickwmooney,Rickwmooney,Tweet
HujumesipeT,HujumesipeT,Tweet
wolfmanmike47,wolfmanmike47,Tweet
surfdadsband,FlatEarthOrg,RT
EYPlaylist,DAPFpodcast,RT
rosswickman,rosswickman,Tweet
ConstitutionOR,ConstitutionOR,Tweet
gkhankrkmaz,Willetal,RT
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionNd,Tweet
MeSoDeplorable,MeSoDeplorable,Tweet
MEConstitution,jayhazy23,RT
MEConstitution,Staff1530,RT
MEConstitution,HujumesipeT,RT
gkhankrkmaz,degimli42,RT
CobraElDiablo,CobraElDiablo,Tweet
Staff1530,Staff1530,Tweet
jayhazy23,jayhazy23,Tweet
SmokeBreakMusic,SmokeBreakMusic,Tweet
WeenieLinguini,SmokeBreakMusic,RT
WeenieLinguini,Rickwmooney,RT
WeenieLinguini,SchreckWilliams,RT
WeenieLinguini,SchreckWilliams,RT
WeenieLinguini,Janitor_Who,RT
WeenieLinguini,Mike_W_Simpson,RT
SmokeBreakMusic,SmokeBreakMusic,Tweet
HigbyWalt,KarenWanker,RT
BaE292,Jaescott26,RT
Rickwmooney,Rickwmooney,Tweet
SchreckWilliams,SchreckWilliams,Tweet
SchreckWilliams,SchreckWilliams,Tweet
Janitor_Who,Janitor_Who,Tweet
Mike_W_Simpson,Mike_W_Simpson,Tweet
luilui239,Jaescott26,RT
Jaescott26,Jaescott26,Tweet
DanielEA14710,DanielEA14710,RT
DanielEA14710,DanielEA14710,Tweet
DanielEA14710,space_treasure8,RT
Simla__28,Simla_28,RT
TibeluthedT,TibeluthedT,Tweet
chicagosean,chicagosean,Tweet
JTurdmuffin,JTurdmuffin,Tweet
BotSiduri,ConstitutionNd,RT
BotSiduri,Constitution_NH,RT
BotSiduri,HujumesipeT,RT
Frequen15309040,DSL1912,RT
drifterceptor,TrustFlatEarth,RT
butterfly_1128,FlatFlix,RT
CobraElDiablo,CobraElDiablo,Tweet
HujumesipeT,HujumesipeT,Tweet
Andrea_Abilio,alvinbryan21,RT
LFnord,LFnord,Tweet
FlatEarthRT,DAPFpodcast,RT
AlarconSofiia,AlarconSofiia,Tweet
AmberBozer,LsdLab,RT
Constitution_NH,Constitution_NH,Tweet
Constitution_NH,Trilluminarian,RT
ConstitutionNd,ConstitutionNd,Tweet
ConstitutionNd,ConstitutionOR,RT
MEConstitution,TrustFlatEarth,RT
MEConstitution,DAPFpodcast,RT
03uan,03uan,Tweet
WeenieLinguini,Trilluminarian,RT
WeenieLinguini,DaysOfNoah2,RT
WeenieLinguini,DAPFpodcast,RT
Staff1530,Staff1530,RT
Trilluminarian,Trilluminarian,Tweet
kelly_rafter,DaysOfNoah2,RT
DaysOfNoah2,DaysOfNoah2,Tweet
AdFreeTalkRadio,DAPFpodcast,RT
theFoFpod,DAPFpodcast,RT
DAPFpodcast,DAPFpodcast,Tweet
WeenieLinguini,caish549,RT
TrustFlatEarth,TrustFlatEarth,Tweet
DangerEntNet,DAPFpodcast,RT
Captainswoop1,bg_anon,RT
khakipillowslip,khakipillowslip,Tweet
LeeFroch,Spacehehehe,RT
bg_anon,bg_anon,Tweet
caish549,caish549,Tweet
CobraElDiablo,CobraElDiablo,Tweet
AtrexOG1,TrustFlatEarth,RT
CobraElDiablo,CobraElDiablo,Tweet
TrustFlatEarth,TrustFlatEarth,Tweet
bg_anon,bg_anon,Tweet
TibeluthedT,TibeluthedT,Tweet
khatibaim,khatibaim,Tweet
chuckytales710,alvinbryan21,RT
the_lex_sea,the_lex_sea,Tweet
GlobeDebunked,GlobeDebunked,RT
humptydance23,humptydance23,Tweet
GlobeDebunked,GlobeDebunked,RT
AbigailA1972,Nott_Like_The_O,RT
Kay4e9,alvinbryan21,RT
FlatEarthRT,DAPFpodcast,RT
FlatEarthRT,AngelsFreak7,RT
MasterDebateNet,MasterDebateNet,Tweet
carlossantitos,FlatEarthOrg,RT
WeenieLinguini,ConstitutionOR,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,ConstitutionNd,RT
WeenieLinguini,RatioScientiae,RT
WeenieLinguini,alvinbryan21,RT
WeenieLinguini,EisF7,RT
Flat_Earth_Real,Spacehehehe,RT
ConstitutionOR,ConstitutionOR,Tweet
truthseeker6761,FlatEarthTshirt,RT
truthseeker6761,Itsmedanlee16,RT
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionNd,Tweet
RatioScientiae,RatioScientiae,Tweet
MEConstitution,DAPFpodcast,RT
MEConstitution,AngelsFreak7,RT
MEConstitution,EisF7,RT
MEConstitution,HujumesipeT,RT
wiretechgirl,wiretechgirl,Tweet
alvinbryan21,alvinbryan21,Tweet
HLfavorite,AenesidemusOZ,RT
EisF7,EisF7,Tweet
AdFreeTalkRadio,AngelsFreak7,RT
AdFreeTalkRadio,DAPFpodcast,RT
EFT_Seattle,EFT_Seattle,RT
AngelsFreak7,AngelsFreak7,Tweet
DAPFpodcast,DAPFpodcast,Tweet
CobraElDiablo,CobraElDiablo,Tweet
HumanityWake,alvinbryan21,RT
Abdulaziz_tr78,Spacehehehe,RT
flatbeds_1972,alvinbryan21,RT
sofinique1,FlatEarthTshirt,RT
sofinique1,Itsmedanlee16,RT
PrayingElves,FlatFlix,RT
PrayingElves,flatmotionless,RT
NormsEG,LsdLab,RT
MasterDebateNet,MasterDebateNet,Tweet
kinglogosjonas,FlatSmacker,RT
NASALIES7,FlatSmacker,RT
NASALIES7,redpill_beena,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,LFnord,RT
WeenieLinguini,FlatFlix,RT
WeenieLinguini,nanaof47,RT
CallMeEOnly,CallMeEOnly,Tweet
HumanityWake,HumanityWake,Tweet
kinglogosjonas,slayckx,RT
GlobeDebunked,GlobeDebunked,Tweet
RockLeade,bg_anon,RT
CharterGene,alvinbryan21,RT
Staff1530,Staff1530,Tweet
Dionn1e,alvinbryan21,RT
NASALIES7,NASALIES7,Tweet
lrstriker,Spacehehehe,RT
